,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
190,190,6,21.0,43.0,19.45,580.2083179746389,0.9670138632910649,9582.52,9557.08
191,191,6,1.0,1.0,14.87,3.228026540921636,0.0053800442348693935,40.82,36.31
192,192,6,1.0,1.0,20.0,12.759652341128064,0.02126608723521344,76.1,66.69
193,193,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,6,1.0,1.0,10.81,21.191482196730675,0.03531913699455112,85.47,82.81
195,195,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,196,6,1.0,1.0,23.23,9.586656239226102,0.01597776039871017,74.39,67.78
197,197,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,198,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,199,6,1.0,1.0,10.37,2.8069503165451373,0.004678250527575228,41.09,40.33
200,200,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,201,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,202,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,203,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,204,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,205,6,1.0,1.0,14.58,4.104039285672142,0.006840065476120237,57.67,55.04
206,206,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207,6,1.0,2.0,14.97,26.027679146569632,0.04337946524428272,95.07,89.11
208,208,6,1.0,1.0,6.73,5.285500971796748,0.008809168286327914,45.38,45.52
209,209,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,210,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,211,7,1.0,2.0,13.92,29.08389145601565,0.04847315242669275,72.14,71.89
212,212,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,213,7,1.0,1.0,7.39,3.6728848633355993,0.0061214747722259984,16.01,15.08
214,214,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,215,7,20.0,42.0,27.62,501.0995528563516,0.8351659214272527,9283.04,9248.02
216,216,7,1.0,1.0,8.8,3.6831423255500084,0.0061385705425833475,48.6,45.81
217,217,7,1.0,1.0,12.88,24.02410914010525,0.040040181900175414,84.13,76.58
218,218,7,1.0,1.0,12.22,4.489691488910951,0.007482819148184919,71.32,74.57
219,219,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,220,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,221,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,222,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,223,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,224,7,1.0,1.0,15.05,19.468285304303173,0.03244714217383862,102.13,91.13
225,225,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,227,7,1.0,1.0,9.74,1.8243306706258107,0.0030405511177096843,24.96,28.94
